*LANG			
	&English	简体中文(&Simplified Chinese)	繁體中文(&Traditional Chinese)
	Stoutnail		
	Crushflange		
	Bloodrise		
	The Generals Tan Do Li Ga		
	Ironstone		
	Bonesob		
	Steeldriver		
	Rixots Keen		
	Blood Crescent		
	Krintizs Skewer		
	Gleamscythe		
	Azurewrath		
	Griswolds Edge		
	Hellplague		
	Culwens Point		
	Shadowfang		
	Soulflay		
	Kinemils Awl		
	Blacktongue		
	Ripsaw		
	The Patriarch		
	Gull		
	The Diggler		
	The Jade Tan Do		
	Irices Shard		
	The Dragon Chang		
	Razortine		
	Bloodthief		
	Lance of Yaggai		
	The Tannr Gorerod		
	Dimoaks Hew		
	Steelgoad		
	Soul Harvest		
	The Battlebranch		
	Woestave		
	The Grim Reaper		
	Bane Ash		
	Serpent Lord		
	Lazarus Spire		
	The Salamander		
	The Iron Jang Bong		
	Pluckeye		
	Witherstring		
	Rimeraven		
	Piercerib		
	Pullspite		
	Wizendraw		
	Hellclap		
	Blastbark		
	Leadcrow		
	Ichorsting		
	Hellcast		
	Doomspittle		
	War Bonnet		
	Tarnhelm		
	Coif of Glory		
	Duskdeep		
	Wormskull		
	Howltusk		
	Undead Crown		
	The Face of Horror		
	Greyform		
	Blinkbats Form		
	The Centurion		
	Twitchthroe		
	Darkglow		
	Hawkmail		
	Sparking Mail		
	Venomsward		
	Iceblink		
	Boneflesh		
	Rockfleece		
	Rattlecage		
	Goldskin		
	Victors Silk		
	Heavenly Garb		
	Pelta Lunata		
	Umbral Disk		
	Stormguild		
	Wall of the Eyeless		
	Swordback Hold		
	Steelclash		
	Bverrit Keep		
	The Ward		
	The Hand of Broc		
	Bloodfist		
	Chance Guards		
	Magefist		
	Frostburn		
	Hotspur		
	Gorefoot		
	Treads of Cthon		
	Goblin Toe		
	Tearhaunch		
	Lenyms Cord		
	Snakecord		
	Nightsmoke		
	Goldwrap		
	Bladebuckle		
	Nokozan Relic		
	The Eye of Etlich		
	The Mahim-Oak Curio		
	Nagelring		
	Manald Heal		
	The Stone of Jordan		
	Amulet of the Viper		
	Staff of Kings		
	Horadric Staff		
	Hell Forge Hammer		
	Khalim's Flail		
	Khalim's Will		
	Coldkill		
	Butcher's Pupil		
	Islestrike		
	Pompe's Wrath		
	Guardian Naga		
	Warlord's Trust		
	Spellsteel		
	Stormrider		
	Boneslayer Blade		
	The Minataur		
	Suicide Branch		
	Carin Shard		
	Arm of King Leoric		
	Blackhand Key		
	Dark Clan Crusher		
	Zakarum's Hand		
	The Fetid Sprinkler		
	Hand of Blessed Light		
	Fleshrender		
	Sureshrill Frost		
	Moonfall		
	Baezil's Vortex		
	Earthshaker		
	Bloodtree Stump		
	The Gavel of Pain		
	Bloodletter		
	Coldsteel Eye		
	Hexfire		
	Blade of Ali Baba		
	Ginther's Rift		
	Headstriker		
	Plague Bearer		
	The Atlantian		
	Crainte Vomir		
	Bing Sz Wang		
	The Vile Husk		
	Cloudcrack		
	Todesfaelle Flamme		
	Swordguard		
	Spineripper		
	Heart Carver		
	Blackbog's Sharp		
	Stormspike		
	The Impaler		
	Kelpie Snare		
	Soulfeast Tine		
	Hone Sundan		
	Spire of Honor		
	The Meat Scraper		
	Blackleach Blade		
	Athena's Wrath		
	Pierre Tombale Couant		
	Husoldal Evo		
	Grim's Burning Dead		
	Razorswitch		
	Ribcracker		
	Chromatic Ire		
	Warpspear		
	Skullcollector		
	Skystrike		
	Riphook		
	Kuko Shakaku		
	Endlesshail		
	Whichwild String		
	Cliffkiller		
	Magewrath		
	Godstrike Arch		
	Langer Briser		
	Pus Spiter		
	Buriza-Do Kyanon		
	Demon Machine		
	Armor		
	Peasent Crown		
	Rockstopper		
	Stealskull		
	Darksight Helm		
	Valkiry Wing		
	Crown of Thieves		
	Blackhorn's Face		
	Vampiregaze		
	The Spirit Shroud		
	Skin of the Vipermagi		
	Skin of the Flayerd One		
	Ironpelt		
	Spiritforge		
	Crow Caw		
	Shaftstop		
	Duriel's Shell		
	Skullder's Ire		
	Guardian Angel		
	Toothrow		
	Atma's Wail		
	Black Hades		
	Corpsemourn		
	Que-Hegan's Wisdon		
	Visceratuant		
	Mosers Blessed Circle		
	Stormchaser		
	Tiamat's Rebuke		
	Kerke's Sanctuary		
	Radimant's Sphere		
	Lidless Wall		
	Lance Guard		
	Venom Grip		
	Gravepalm		
	Ghoulhide		
	Lavagout		
	Hellmouth		
	Infernostride		
	Waterwalk		
	Silkweave		
	Wartraveler		
	Gorerider		
	String of Ears		
	Razortail		
	Gloomstrap		
	Snowclash		
	Thudergod's Vigor		
	Elite Uniques		
	Harlequin Crest		
	Veil of Steel		
	The Gladiator's Bane		
	Arkaine's Valor		
	Blackoak Shield		
	Stormshield		
	Hellslayer		
	Messerschmidt's Reaver		
	Baranar's Star		
	Schaefer's Hammer		
	The Cranium Basher		
	Lightsabre		
	Doombringer		
	The Grandfather		
	Wizardspike		
	Constricting Ring		
	Stormspire		
	Eaglehorn		
	Windforce		
	Rings		
	Bul Katho's Wedding Band		
	The Cat's Eye		
	The Rising Sun		
	Crescent Moon		
	Mara's Kaleidoscope		
	Atma's Scarab		
	Dwarf Star		
	Raven Frost		
	Highlord's Wrath		
	Saracen's Chance		
	Class Specific		
	Arreat's Face		
	Homunculus		
	Titan's Revenge		
	Lycander's Aim		
	Lycander's Flank		
	The Oculus		
	Herald of Zakarum		
	Bartuc's Cut-Throat		
	Jalal's Mane		
	The Scalper		
	Bloodmoon		
	Djinnslayer		
	Deathbit		
	Warshrike		
	Gutsiphon		
	Razoredge		
	Gore Ripper		
	Demonlimb		
	Steelshade		
	Tomb Reaver		
	Deaths's Web		
	Nature's Peace		
	Azurewrath		
	Seraph's Hymn		
	Zakarum's Salvation		
	Fleshripper		
	Odium		
	Horizon's Tornado		
	Stone Crusher		
	Jadetalon		
	Shadowdancer		
	Cerebus' Bite		
	Tyrael's Might		
	Souldrain		
	Runemaster		
	Deathcleaver		
	Executioner's Justice		
	Stoneraven		
	Leviathan		
	Larzuk's Champion		
	Wisp Projector		
	Gargoyle's Bite		
	Lacerator		
	Mang Song's Lesson		
	Viperfork		
	Ethereal Edge		
	Demonhorn's Edge		
	The Reaper's Toll		
	Spiritkeeper		
	Hellrack		
	Alma Negra		
	Darkforge Spawn		
	Widowmaker		
	Bloodraven's Charge		
	Ghostflame		
	Shadowkiller		
	Gimmershred		
	Griffon's Eye		
	Windhammer		
	Thunderstroke		
	Giantmaimer		
	Demon's Arch		
	Boneflame		
	Steelpillar		
	Nightwing's Veil		
	Crown of Ages		
	Andariel's Visage		
	Darkfear		
	Dragonscale		
	Steel Carapice		
	Medusa's Gaze		
	Ravenlore		
	Boneshade		
	Nethercrow		
	Flamebellow		
	Fathom		
	Wolfhowl		
	Spirit Ward		
	Kira's Guardian		
	Ormus' Robes		
	Gheed's Fortune		
	Stormlash		
	Halaberd's Reign		
	Warriv's Warder		
	Spike Thorn		
	Dracul's Grasp		
	Frostwind		
	Templar's Might		
	Eschuta's temper		
	Firelizard's Talons		
	Sandstorm Trek		
	Marrowwalk		
	Heaven's Light		
	Merman's Speed		
	Arachnid Mesh		
	Nosferatu's Coil		
	Metalgrid		
	Verdugo's Hearty Cord		
	Sigurd's Staunch		
	Carrion Wind		
	Giantskull		
	Ironward		
	Annihilus		
	Arioc's Needle		
	Cranebeak		
	Nord's Tenderizer		
	Earthshifter		
	Wraithflight		
	Bonehew		
	Ondal's Wisdom		
	The Reedeemer		
	Headhunter's Glory		
	Steelrend		
	Rainbow Facet		
	Rainbow Facet		
	Rainbow Facet		
	Rainbow Facet		
	Rainbow Facet		
	Rainbow Facet		
	Rainbow Facet		
	Rainbow Facet		
	Hellfire Torch	地狱火炬	地獄火炬
	The Cold Rupture	冰寒裂缝	冰寒裂縫
	The Flame Rift	火焰裂隙	火焰裂隙
	The Crack of the Heavens	天堂裂击	天堂裂擊
	The Rotting Fissure	腐败裂痕	腐敗裂痕
	The Bone Break	分筋裂骨	分筋裂骨
	The Black Cleft	漆黑裂口	漆黑裂口
*=======================以下是套装名字(Set Name)			
	Civerb's Ward		
	Civerb's Icon		
	Civerb's Cudgel		
	Hsarus' Iron Heel		
	Hsarus' Iron Fist		
	Hsarus' Iron Stay		
	Cleglaw's Tooth		
	Cleglaw's Claw		
	Cleglaw's Pincers		
	Iratha's Collar		
	Iratha's Cuff		
	Iratha's Coil		
	Iratha's Cord		
	Isenhart's Lightbrand		
	Isenhart's Parry		
	Isenhart's Case		
	Isenhart's Horns		
	Vidala's Barb		
	Vidala's Fetlock		
	Vidala's Ambush		
	Vidala's Snare		
	Milabrega's Orb		
	Milabrega's Rod		
	Milabrega's Diadem		
	Milabrega's Robe		
	Cathan's Rule		
	Cathan's Mesh		
	Cathan's Visage		
	Cathan's Sigil		
	Cathan's Seal		
	Tancred's Crowbill		
	Tancred's Spine		
	Tancred's Hobnails		
	Tancred's Weird		
	Tancred's Skull		
	Sigon's Gage		
	Sigon's Visor		
	Sigon's Shelter		
	Sigon's Sabot		
	Sigon's Wrap		
	Sigon's Guard		
	Infernal Cranium		
	Infernal Torch		
	Infernal Sign		
	Berserker's Headgear		
	Berserker's Hauberk		
	Berserker's Hatchet		
	Death's Hand		
	Death's Guard		
	Death's Touch		
	Angelic Sickle		
	Angelic Mantle		
	Angelic Halo		
	Angelic Wings		
	Arctic Horn		
	Arctic Furs		
	Arctic Binding		
	Arctic Mitts		
	Arcanna's Sign		
	Arcanna's Deathwand		
	Arcanna's Head		
	Arcanna's Flesh		
	Natalya's Totem		
	Natalya's Mark		
	Natalya's Shadow		
	Natalya's Soul		
	Aldur's Stony Gaze		
	Aldur's Deception		
	Aldur's Gauntlet		
	Aldur's Advance		
	Immortal King's Will		
	Immortal King's Soul Cage 		
	Immortal King's Detail		
	Immortal King's Forge		
	Immortal King's Pillar		
	Immortal King's Stone Crusher		
	Tal Rasha's Fire-Spun Cloth		
	Tal Rasha's Adjudication		
	Tal Rasha's Lidless Eye		
	Tal Rasha's Guardianship		
	Tal Rasha's Horadric Crest		
	Griswold's Valor		
	Griswold's Heart		
	Griswolds's Redemption		
	Griswold's Honor		
	Trang-Oul's Guise		
	Trang-Oul's Scales		
	Trang-Oul's Wing		
	Trang-Oul's Claws		
	Trang-Oul's Girth		
	M'avina's True Sight		
	M'avina's Embrace		
	M'avina's Icy Clutch		
	M'avina's Tenet		
	M'avina's Caster		
	Telling of Beads		
	Laying of Hands		
	Rite of Passage		
	Spiritual Custodian		
	Credendum		
	Dangoon's Teaching		
	Heaven's Taebaek		
	Haemosu's Adament		
	Ondal's Almighty		
	Guillaume's Face		
	Wilhelm's Pride		
	Magnus' Skin		
	Wihtstan's Guard		
	Hwanin's Splendor		
	Hwanin's Refuge		
	Hwanin's Seal		
	Hwanin's Justice		
	Sazabi's Cobalt Redeemer		
	Sazabi's Ghost Liberator		
	Sazabi's Mental Sheath		
	Bul-Kathos' Sacred Charge		
	Bul-Kathos' Tribal Guardian		
	Cow King's Horns		
	Cow King's Hide		
	Cow King's Hoofs		
	Naj's Puzzler		
	Naj's Light Plate		
	Naj's Circlet		
	McAuley's Paragon		
	McAuley's Riprap		
	McAuley's Taboo		
	McAuley's Superstition		
*=======================以下是符文之语名字(Rune Name)			
27	Ancient's Pledge		
30	Beast		
32	Black		
34	Bone		
35	Bramble		
36	Brand		
37	Breath of the Dying		
39	Call to Arms		
40	Chains of Honor		
42	Chaos		
43	Crescent Moon		
46	Death		
51	Destruction		
52	Doom		
53	Dragon		
55	Dream		
56	Duress		
57	Edge		
59	Enigma		
60	Enlightenment		
62	Eternity		
63	Exile		
64	Faith		
65	Famine		
66	Flickering Flame		
67	Fortitude		
70	Fury		
71	Gloom		
73	Grief		
74	Hand of Justice		
75	Harmory		
77	Heart of the Oak		
80	Holy Thunder		
81	Honor		
85	Ice		
86	Infinity		
88	Insight		
91	King's Grace		
92	Kingslayer		
95	Last Wish		
97	Lawbringer		
98	Leaf		
100	Lionheart		
101	Lore		
106	Malice		
107	Melody		
108	Memory		
109	Mist		
112	Myth		
113	Nadir		
116	Oath		
117	Obedience		
119	Obsession		
120	Passion		
122	Pattern		
123	Peace		
124	Winter		
128	Phoenix		
131	Plague		
134	Pride		
135	Principle		
137	Prudence		
141	Radiance		
142	Rain		
145	Rhyme		
146	Rift		
147	Sanctuary		
151	Silence		
153	Smoke		
155	Spirit		
156	Splendor		
158	Stealth		
159	Steel		
162	Stone		
164	Strength		
173	Treachery		
176	Unbending Will		
179	Venom		
185	Wealth		
187	White		
188	Wind		
190	Wisdom		
193	Wrath		
195	Zephyr		
2718	Delirium		
